lat,lng,code,model,captive,nest_id,battery,id,fetched
30.286394,-97.741732,,bd,false,ca3e8bd1-7afd-4073-a8eb-6d4414be14ac,100,ee27f5cc-d1b3-4071-bc0c-f0d499f49521,1562175270
30.286204,-97.741746,,bd,false,undefined,100,1b5c0c7a-d3be-4065-ad5c-050997852da2,1562175270
30.286393,-97.741785,,bd,false,ca3e8bd1-7afd-4073-a8eb-6d4414be14ac,100,a8df7a78-97e5-4155-abcc-23a26a76ae36,1562175270
30.28619,-97.741752,,bd,false,undefined,90,b1875600-f29c-4892-be81-81cb2e7fcb17,1562175270
30.286483,-97.741692,,bd,false,ca3e8bd1-7afd-4073-a8eb-6d4414be14ac,100,56b4530a-ac80-4f26-9129-2d20bfef33c3,1562175270
30.286508,-97.741792,,bd,false,ca3e8bd1-7afd-4073-a8eb-6d4414be14ac,100,dee93a7c-3fbb-4008-bba6-0a3a6c79452b,1562175270
30.286537,-97.741853,,bd,false,ca3e8bd1-7afd-4073-a8eb-6d4414be14ac,100,43cbafc0-3fcd-4b47-b13c-5bb201ab7beb,1562175270
30.285872,-97.741456,,bd,false,undefined,66,f0b90d5e-ebcf-467c-a9f7-8b0379d8ae34,1562175270
30.285873,-97.741316,,bd,false,undefined,90,f4d22101-714b-457d-b371-1f3eac01b92f,1562175270
30.286476,-97.742236,,bd,false,89080b35-90c7-4e7a-a56e-6d9bc6d0b759,100,54fcd86f-8016-436f-8601-210cf03ca625,1562175270
30.285805,-97.741425,,bd,false,undefined,73,390c58f6-c528-43f3-a4fe-eb50209f4ed3,1562175270
30.285854,-97.741284,,bd,false,undefined,83,472e2102-eaae-4418-8d8c-1fd88d3c22d6,1562175270
30.28645,-97.742268,,bd,false,89080b35-90c7-4e7a-a56e-6d9bc6d0b759,100,8e6166c5-8eee-4365-933e-914cce0f15ae,1562175270
30.28579333333333,-97.74134833333333,,esx,false,undefined,10,6f466606-8494-4202-b2bd-c85b73aefffc,1562175270
30.28646,-97.742298,,bd,false,89080b35-90c7-4e7a-a56e-6d9bc6d0b759,100,79433425-fa3c-4a5a-b58b-3ed69a7d8116,1562175270
30.286517,-97.742292,,bd,false,89080b35-90c7-4e7a-a56e-6d9bc6d0b759,100,7e9bb61a-3dd6-4d7d-bfc8-273bde6bd883,1562175270
30.286485,-97.742428,,bd,false,f6ae29f4-e42e-49c2-918c-ebc1be391092,96,55a30410-39ee-4316-8251-098035683d58,1562175270
30.286865,-97.740914,,bd,false,undefined,83,1d129605-162a-4b57-a89c-5c8c3ccd84db,1562175270
